Close	High	Low	Open	Volume	datetime	companyName	SMA20	SMA40	SMA100	SMA200	pivotHigh	pivotLow	isPivot	pm40_01	ind_SMA	id_posiblepm40	trendH	trendcurrhigh	cdlengulfing	cdlhammer	cdlmorningstar	cdlpiercing	cdlclosingmarubozu	cdlmarubozu	cdl3whitesoldiers	cdlharami	cdlharamicross	cdlinvertdhammer	cdlladderbottom	Vela_Verde	Third_Level	Above_Third	bearishSlope	ind_posicion	promVol	sl_highs	r_sq_h	isBreakOut	isBreakOutIni	breakpointpos	isBreakOutFinal	caso
455.010009765625	455.5299987792969	454.2799987792969	454.9599914550781	7671327	2023-11-22 15:30:00+00:00	SPY	452.9190460205079	451.3241485595703	442.5964974975586	433.1508755493164				0	1	0		467.3202086331553	0	0	0	0	0	0	0	0	0	0	0	True	455.3766581217448	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.3800048828125	455.8999938964844	454.8900146484375	455.0199890136719	5564070	2023-11-22 16:30:00+00:00	SPY	453.1525466918946	451.4946487426758	442.8680975341797	433.26082305908204				0	1	0		467.1312180903921	0	0	0	0	0	0	0	0	0	0	0	True	455.3566487630208	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.5499877929688	455.5650024414063	454.6199951171875	455.3900146484375	4455610	2023-11-22 17:30:00+00:00	SPY	453.3825454711914	451.63687057495116	443.13669738769534	433.37002304077146	455.5660024414063		1.0	0	1	0		466.94222754762893	0	0	0	0	0	0	0	0	0	0	0	True	455.70501708984375	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.4800109863281	455.6199951171875	455.2049865722656	455.5499877929688	5262448	2023-11-22 18:30:00+00:00	SPY	453.60204620361327	451.80562057495115	443.4041973876953	433.475173034668				0	1	0		466.7532370048658	0	0	0	0	0	0	0	0	0	0	0	False	455.68832397460943	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.2800903320313	455.5	453.9249877929688	455.4700012207031	8808112	2023-11-22 19:30:00+00:00	SPY	453.82705078125	451.92012252807615	443.6607983398437	433.59087341308594				0	1	0		466.56424646210263	0	100	0	0	0	0	0	0	0	0	0	False	455.9950052897135	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.0299987792969	455.4100036621094	454.9800109863281	455.2799987792969	7993229	2023-11-22 20:30:00+00:00	SPY	453.9810501098633	452.0258728027344	443.90968933105466	433.70150085449217				0	1	0		466.37525591933945	0	0	0	0	-100	0	0	0	0	0	0	False	455.42332967122394	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9800109863281	455.5	454.7300109863281	455.0700073242188	7031138	2023-11-24 14:30:00+00:00	SPY	454.09654998779297	452.14612579345703	444.1568392944336	433.8254508972168				0	1	0		466.18626537657633	0	0	0	0	0	0	0	0	0	0	0	False	455.3266703287761	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.0450134277344	455.239990234375	454.7300109863281	454.989990234375	5936204	2023-11-24 15:30:00+00:00	SPY	454.20530090332034	452.27877578735354	444.39978942871096	433.9435260009766				0	1	0		465.99727483381315	0	0	0	0	0	0	0	0	0	0	0	True	455.1599833170573	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.8599853515625	455.135009765625	454.8500061035156	455.0499877929688	7532051	2023-11-24 16:30:00+00:00	SPY	454.2628005981445	452.38927536010743	444.60978942871094	434.062425994873				0	1	0		465.80828429105	-100	0	0	0	-100	-100	0	0	0	0	0	False	455.14498901367193	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.6099853515625	455.2449951171875	454.0798950195313	454.6499938964844	9113168	2023-11-27 14:30:00+00:00	SPY	454.29329986572264	452.50277481079104	444.81638916015623	434.177725982666				0	1	0		465.61929374828685	0	0	0	0	0	0	0	0	0	0	0	False	455.0383605957031	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.8699035644531	455.0704040527344	454.23089599609375	454.6300048828125	5772801	2023-11-27 15:30:00+00:00	SPY	454.2852951049805	452.6335220336914	445.009538269043	434.27245056152344				0	1	0		465.43030320552367	0	0	0	0	0	0	0	0	0	0	0	True	454.9098409016927	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9500122070313	455.3900146484375	454.5710144042969	454.8599853515625	6221715	2023-11-27 16:30:00+00:00	SPY	454.320295715332	452.7585220336914	445.2080383300781	434.3643505859375				0	1	0		465.2413126627605	0	0	0	0	0	0	0	0	0	0	0	True	455.1329854329427	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.239990234375	455.4901123046875	454.8949890136719	454.9700012207031	4420471	2023-11-27 17:30:00+00:00	SPY	454.47479553222655	452.93127212524416	445.4031381225586	434.4601005554199				0	1	0		465.05232211999737	0	0	0	0	0	0	0	0	0	0	0	True	455.1683756510417	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9949951171875	455.3699951171875	454.8900146484375	455.239990234375	4110195	2023-11-27 18:30:00+00:00	SPY	454.59954528808595	453.0747718811035	445.59838806152345	434.5568754577637				0	1	0		464.8633315772342	0	0	0	0	0	0	0	0	0	0	0	False	455.3999837239583	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9649963378906	455.0299987792969	454.1099853515625	455.0	6152850	2023-11-27 19:30:00+00:00	SPY	454.69129486083983	453.21364669799806	445.80113800048827	434.65195037841795				0	1	0		464.674341034471	0	100	0	0	0	0	0	0	0	0	0	False	455.3066711425781	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.5	455.30999755859375	454.3699951171875	454.9949951171875	10347825	2023-11-27 20:30:00+00:00	SPY	454.7742492675781	453.3527717590332	445.9933380126953	434.7400503540039				0	1	0		464.4853504917079	0	0	0	0	0	0	0	0	0	0	0	False	455.30832926432294	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.0499877929688	454.2850036621094	453.5	454.0799865722656	9220531	2023-11-28 14:30:00+00:00	SPY	454.8142486572266	453.46377182006836	446.17933776855466	434.8301502990723		453.499	2.0	1	1	1		464.2963599489447	0	0	0	0	0	0	0	0	0	0	0	False	454.34165445963544	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.5700073242188	455.6650085449219	453.9249877929688	454.0499877929688	9229012	2023-11-28 15:30:00+00:00	SPY	454.9292495727539	453.5977722167969	446.3846377563477	434.93467529296873				0	1	0		464.10736940618153	0	0	100	0	0	0	0	0	0	0	0	True	454.6299947102865	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.3999938964844	456.2699890136719	455.3500061035156	455.6650085449219	7017631	2023-11-28 16:30:00+00:00	SPY	455.0362487792969	453.726522064209	446.5964376831055	435.03197525024416				0	1	0		463.9183788634184	0	0	0	0	0	0	0	0	0	0	0	False	455.97166951497394	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.5499877929688	455.4100036621094	453.7699890136719	455.4100036621094	9731581	2023-11-28 17:30:00+00:00	SPY	455.01574859619143	453.845272064209	446.7990386962891	435.1143667602539				0	1	0		463.72938832065523	0	0	0	0	0	0	0	0	0	0	0	False	455.95667521158856	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.25	454.7966918945313	454.1502990722656	454.5400085449219	4898201	2023-11-28 18:30:00+00:00	SPY	454.97774810791014	453.94839706420896	446.9913388061523	435.20399169921876				0	1	0		463.54039777789205	0	0	0	0	0	0	0	0	0	0	0	False	454.75547281901044	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.3900146484375	454.9450073242188	453.9700012207031	454.25	5641164	2023-11-28 19:30:00+00:00	SPY	454.9282485961914	454.04039764404297	447.1787390136719	435.30016677856446				0	1	0		463.35140723512893	0	0	0	0	0	0	0	0	0	0	0	True	454.57500203450525	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.8900146484375	455.1000061035156	454.239990234375	454.3800048828125	11032072	2023-11-28 20:30:00+00:00	SPY	454.89524993896487	454.13889770507814	447.36313903808593	435.397216796875				0	1	0		463.16241669236575	0	0	0	0	0	0	0	0	0	0	0	True	454.6666768391927	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.4750061035156	458.3200073242188	456.1000061035156	457.1499938964844	15944168	2023-11-29 14:30:00+00:00	SPY	454.9449996948242	454.2735229492188	447.5575390625	435.49919189453124	458.3210073242188		1.0	0	1	0		462.9734261496026	0	0	0	0	0	0	0	0	0	0	0	False	457.88999430338544	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.1400146484375	456.8900146484375	455.1099853515625	456.4800109863281	8153909	2023-11-29 15:30:00+00:00	SPY	454.93799591064453	454.3825233459473	447.7460391235352	435.60709197998045				0	1	0		462.78443560683945	0	0	0	0	-100	0	0	0	0	0	0	False	457.07335408528644	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.1900024414063	456.2149963378906	454.9450073242188	455.1499938964844	6126822	2023-11-29 16:30:00+00:00	SPY	454.99599609375	454.48852310180666	447.9375390625	435.72369201660155				0	1	0		462.5954450640763	0	0	0	0	100	0	0	0	0	0	0	True	455.5733235677083	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.2950134277344	456.4500122070313	455.8200073242188	456.1900939941406	5621568	2023-11-29 17:30:00+00:00	SPY	455.06174621582034	454.57914810180665	448.12728912353515	435.8451170349121				0	1	0		462.4064545213131	0	0	0	0	0	0	0	0	0	0	0	True	456.4000956217448	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.885009765625	456.33990478515625	455.6950073242188	456.2950134277344	4673604	2023-11-29 18:30:00+00:00	SPY	455.10374603271487	454.6545234680176	448.3141390991211	435.9594421386719				0	1	0		462.21746397855	0	0	0	0	0	0	0	0	0	0	0	False	456.5099792480469	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.4400024414063	455.8900146484375	454.3699951171875	455.6973876953125	7339883	2023-11-29 19:30:00+00:00	SPY	455.082746887207	454.67277374267576	448.489739074707	436.0713371276855				0	1	0		462.0284734357868	0	0	0	0	-100	0	0	0	0	0	0	False	456.2040608723958	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.6199951171875	454.6700134277344	454.2000122070313	454.4400024414063	10479429	2023-11-29 20:30:00+00:00	SPY	455.08324737548827	454.68827362060546	448.6663391113281	436.192087097168				0	1	0		461.8394828930236	0	100	0	0	0	0	0	0	0	0	0	True	454.596669514974	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.7999877929688	455.7099914550781	454.1400146484375	455.4800109863281	12218811	2023-11-30 14:30:00+00:00	SPY	455.0797515869141	454.6825233459473	448.84923889160154	436.3149870300293				0	1	0		461.6504923502605	0	0	0	0	0	0	0	0	0	0	0	False	456.0033365885417	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.3999938964844	455.3399963378906	454.010009765625	454.80999755859375	9655242	2023-11-30 15:30:00+00:00	SPY	455.05225067138673	454.6862731933594	449.0382388305664	436.4419869995117				0	1	0		461.4615018074973	0	0	0	0	0	0	0	0	0	0	0	False	455.2533264160156	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
453.5700988769531	454.510009765625	453.5	454.4100036621094	7458230	2023-11-30 16:30:00+00:00	SPY	454.9687561035156	454.7217758178711	449.21043975830077	436.5624374389648		453.499	2.0	1	1	1		461.2725112647342	0	0	0	0	-100	-100	0	0	0	0	0	False	454.7466735839844	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
453.6300048828125	454.3200073242188	453.4800109863281	453.5700073242188	4513934	2023-11-30 17:30:00+00:00	SPY	454.9005065917969	454.7500259399414	449.3765399169922	436.68003799438475				0	1	0		461.083520721971	0	0	0	0	0	0	0	0	0	0	0	True	453.8500061035157	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.3580017089844	454.5499877929688	453.3399963378906	453.64990234375	4940880	2023-11-30 18:30:00+00:00	SPY	454.8701568603516	454.7807258605957	449.5507159423828	436.7925280761719				0	1	0		460.8945301792079	0	0	0	0	0	0	0	0	0	0	0	True	454.05323282877606	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.1099853515625	455.1499938964844	453.8399963378906	454.3599853515625	7349569	2023-11-30 19:30:00+00:00	SPY	454.8506561279297	454.8124526977539	449.7198156738281	436.9179280090332				0	1	0		460.70553963644466	0	0	0	0	0	0	0	0	0	0	0	False	454.79665120442706	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.2999877929688	456.760009765625	454.0450134277344	454.1099853515625	21460116	2023-11-30 20:30:00+00:00	SPY	454.96315612792966	454.8887023925781	449.917939453125	437.0655279541016				0	1	0		460.51654909368153	0	0	0	0	0	0	0	0	0	0	0	True	455.0149841308594	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.6900024414063	457.1300048828125	455.1799926757813	455.7699890136719	12000513	2023-12-01 14:30:00+00:00	SPY	454.9691558837891	454.9492027282715	450.1006393432617	437.2118280029297				0	1	0		460.3275585509184	0	0	0	0	0	0	0	-100	-100	0	0	False	456.41999308268225	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
457.4500122070313	457.5499877929688	455.1600036621094	455.6799926757813	11430012	2023-12-01 15:30:00+00:00	SPY	455.07165679931643	455.05395278930666	450.30303955078125	437.3822280883789				0	1	0		460.13856800815523	100	0	0	0	100	0	0	0	0	0	0	True	456.47665405273443	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
458.9150085449219	458.9700012207031	456.8399963378906	457.4599914550781	11434084	2023-12-01 16:30:00+00:00	SPY	455.28990783691404	455.15282821655273	450.52818969726565	437.5653530883789				0	1	0		459.94957746539205	0	0	0	0	100	0	0	0	0	0	0	True	458.1699930826823	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
458.5499877929688	459.6499938964844	458.5499877929688	458.9100036621094	11504790	2023-12-01 17:30:00+00:00	SPY	455.5049072265625	455.2413276672363	450.76558959960937	437.7432029724121				0	1	0	1.0	459.76058692262893	0	0	0	0	0	0	0	-100	0	0	0	False	459.27667236328125	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
458.7300109863281	458.8500061035156	458.1900024414063	458.5499877929688	8517622	2023-12-01 18:30:00+00:00	SPY	455.721907043457	455.32507781982423	451.01518981933594	437.9159524536133				0	1	0		459.57159637986575	0	100	0	0	0	0	0	0	0	0	0	True	458.76998901367193	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
459.0499877929688	459.1400146484375	458.3800048828125	458.7300109863281	7697505	2023-12-01 19:30:00+00:00	SPY	455.9299057006836	455.4125778198242	451.26708984375	438.0981524658203	459.1410146484375		1.0	0	1	0		459.3826058371026	0	0	0	0	0	0	0	0	0	0	0	True	458.9833475748698	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
459.0350036621094	459.3200073242188	458.5899963378906	459.0499877929688	11601018	2023-12-01 20:30:00+00:00	SPY	456.05790557861326	455.50145263671874	451.5094400024414	438.2816275024414				0	1	0	1.0	459.19361529433945	0	0	0	0	0	0	0	0	0	0	0	False	459.29332478841155	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.8150939941406	456.8299865722656	454.6400146484375	455.75	16093892	2023-12-04 14:30:00+00:00	SPY	456.0416595458984	455.4898277282715	451.6911907958984	438.44970291137696				0	1	0		459.0046247515763	0	0	0	0	0	0	0	0	0	0	0	False	456.47999064127606	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.0700073242188	455.1600036621094	454.3399963378906	454.8150024414063	10776842	2023-12-04 15:30:00+00:00	SPY	455.98565979003905	455.4908279418945	451.86839080810546	438.6209278869629				0	1	0		458.8156342088131	0	100	0	0	0	0	0	0	0	0	0	True	455.08833821614587	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.2564086914063	456.4500122070313	454.8699951171875	455.0643005371094	7189401	2023-12-04 16:30:00+00:00	SPY	455.98372955322264	455.5227378845216	452.04105499267575	438.79025985717783				0	1	0		458.62664366605	0	0	0	0	0	0	0	0	0	0	0	True	455.5909729003906	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.8599853515625	456.739990234375	455.8399963378906	456.25	6309156	2023-12-04 17:30:00+00:00	SPY	455.9824783325195	455.5431121826173	452.2014547729492	438.9555097961427				0	1	0		458.4376531232868	0	0	0	0	0	0	0	-100	0	0	0	False	456.5499979654948	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.8399963378906	456.2799987792969	455.4949951171875	455.864990234375	7554979	2023-12-04 18:30:00+00:00	SPY	456.05247802734374	455.56761245727546	452.3560546875	439.12030975341804				0	1	0		458.2486625805236	0	0	0	0	0	0	0	0	0	0	0	False	456.1266581217448	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.0299987792969	456.1900024414063	455.6700134277344	455.8349914550781	7591966	2023-12-04 19:30:00+00:00	SPY	456.1229782104492	455.60311279296883	452.5102548217773	439.28835968017586				0	1	0		458.0596720377605	100	0	0	0	0	0	0	0	0	0	0	True	456.0083211263021	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.6799926757813	456.93701171875	455.80999755859375	456.0350036621094	11095665	2023-12-04 20:30:00+00:00	SPY	456.2169784545898	455.64836502075207	452.6853546142578	439.4665097045899				0	1	0		457.8706814949973	0	0	0	0	0	0	0	0	0	0	0	True	456.4106750488281	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.3799133300781	457.0	454.8699951171875	455.260009765625	12876250	2023-12-05 14:30:00+00:00	SPY	456.3159744262695	455.68411254882824	452.8440536499023	439.6461093139649				0	1	0		457.68169095223413	0	0	0	0	0	0	0	0	0	0	0	True	455.9700113932292	True		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.2699890136719	457.5899963378906	455.5799865722656	456.3800048828125	9560516	2023-12-05 15:30:00+00:00	SPY	456.45096893310546	455.7098625183106	452.9994534301758	439.80530929565435				0	1	0		457.492700409471	0	0	0	0	0	0	0	0	0	0	0	False	457.0500081380208	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.2749938964844	456.6900024414063	455.364990234375	456.2999877929688	7090121	2023-12-05 16:30:00+00:00	SPY	456.5832183837891	455.74186248779307	453.1608032226562	439.9718843078614				0	1	0		457.30370986670783	0	0	0	0	0	0	0	0	0	0	0	False	456.7416585286459	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.3299865722656	456.5700073242188	455.2300109863281	456.2799987792969	7684502	2023-12-05 17:30:00+00:00	SPY	456.68181762695315	455.7759872436524	453.31480407714844	440.14573425292974				0	1	0		457.11471932394466	0	0	0	0	0	0	0	0	0	0	0	True	456.72666422526044	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.4700012207031	456.7000122070313	455.8999938964844	456.3299865722656	5434410	2023-12-05 18:30:00+00:00	SPY	456.79981842041013	455.82523727417004	453.4720040893555	440.3173847961427				0	1	0		456.92572878118153	0	0	0	0	0	0	0	0	0	0	0	True	456.59665934244794	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.5299987792969	456.7900085449219	455.9849853515625	456.4700012207031	5780157	2023-12-05 19:30:00+00:00	SPY	456.8113189697266	455.88723754882824	453.63530395507814	440.48523483276375				0	1	0		456.73673823841835	0	0	0	0	0	0	0	0	0	0	0	True	456.73834228515625	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.5799865722656	456.6300048828125	456.0899963378906	456.5400085449219	14225419	2023-12-05 20:30:00+00:00	SPY	456.8558181762695	455.9124870300294	453.71240386962893	440.647883758545				0	1	0		456.5477476956552	0	0	0	0	0	0	0	0	0	0	0	True	456.7200113932292	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
457.1200866699219	458.8399963378906	456.760009765625	458.80999755859375	12335048	2023-12-06 14:30:00+00:00	SPY	456.8393218994141	455.95548934936534	453.7890048217773	440.81538421630864				0	1	0		456.35875715289205	0	0	0	0	0	0	0	0	0	0	0	False	459.5033264160156	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.8399963378906	457.5499877929688	456.6099853515625	457.1300048828125	6153440	2023-12-06 15:30:00+00:00	SPY	456.7355712890625	456.0127395629884	453.8763049316406	441.0030366516114				0	1	0		456.1697666101289	0	0	0	0	0	0	0	0	0	0	0	False	457.44333902994794	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.2650146484375	456.8599853515625	456.010009765625	456.8150024414063	7532811	2023-12-06 16:30:00+00:00	SPY	456.62132263183594	456.0631149291993	453.95045501708984	441.17981170654303				0	1	0		455.9807760673657	0	0	0	0	0	0	0	0	0	0	0	False	457.0983276367188	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
456.3900146484375	456.75	455.6000061035156	456.2699890136719	6152361	2023-12-06 17:30:00+00:00	SPY	456.5043228149414	456.1131149291993	454.0287551879883	441.36571182250987				0	1	0		455.7917855246026	0	0	0	0	0	0	0	100	100	0	0	True	456.6533203125	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
455.8999938964844	456.5985107421875	455.8699951171875	456.3999938964844	4538391	2023-12-06 18:30:00+00:00	SPY	456.34682312011716	456.13836441040047	454.0891439819336	441.55552627563486				0	1	0		455.6027949818394	-100	0	0	0	-100	0	0	0	0	0	0	False	456.64283243815106	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.9949951171875	456.3800048828125	454.8399963378906	455.9100036621094	8210542	2023-12-06 19:30:00+00:00	SPY	456.1448226928711	456.1013641357423	454.1517938232422	441.741826324463				0	1	0		455.4138044390762	0	0	0	0	0	0	0	0	0	0	0	False	456.42333984375	False		-1	8476123.44736842	-0.18899054276315888	0.9976759391077					1
454.7099914550781	455.2090148925781	454.30999755859375	454.989990234375	14670485	2023-12-06 20:30:00+00:00	SPY	456.13956756591796	456.0906135559083	454.1918936157227	441.9256268310548		454.3089975585938	2.0	1	1	1	1.0	455.2248138963131	0	0	0	0	0	0	0	0	0	0	0	False	455.28966267903644	False	1.0	0	8476123.44736842	-0.18899054276315888	0.9976759391077					1
457.9599914550781	458.0150146484375	456.2900085449219	456.9100036621094	14619703	2023-12-07 14:30:00+00:00	SPY	456.28406677246096	456.1348632812501	454.26349365234375	442.12732681274423				0	1	0		455.03582335355	0	0	100	0	100	0	0	0	0	0	0	True	457.48500569661456	True		1	8476123.44736842	-0.18899054276315888	0.9976759391077	3.0	1.0	458.0120146484375		1
457.0700073242188	458.1449890136719	456.5119934082031	457.9800109863281	8997510	2023-12-07 15:30:00+00:00	SPY	456.3247467041016	456.1542381286622	454.3324948120117	442.3356768798829				0	1	0		454.84683281078674	0	0	0	0	0	0	0	0	0	0	0	False	458.5243428548177	False		1	8476123.44736842	-0.18899054276315888	0.9976759391077	3.0				1
458.25	458.4500122070313	457.010009765625	457.0700073242188	6732091	2023-12-07 16:30:00+00:00	SPY	456.4442474365234	456.2133628845216	454.417604675293	442.55502685546884				0	1	0		454.6578422680236	0	0	0	0	0	0	0	0	0	0	0	True	457.5500081380209	True		1	8476123.44736842	-0.18899054276315888	0.9976759391077	3.0				1
458.0899963378906	458.5499877929688	457.9450073242188	458.260009765625	6550227	2023-12-07 17:30:00+00:00	SPY	456.55674743652344	456.3046127319337	454.4941046142578	442.7804313659669				0	1	0		454.4688517252605	0	0	0	0	0	0	0	0	0	0	0	False	458.461669921875	False		1	8476123.44736842	-0.18899054276315888	0.9976759391077	3.0				1
